rowid,SYSTEM,COUNTY,MRKTCODE,VENDOR,MONTH,DAY,YEAR,LFC,LFW,WW,WC,QLFC,QLFW,QWW,QWC,ESTQTY,QUANTITY,FMOZONE,ESC,WIN,PASSED,CONTRACTS,COMMITMENTS,CAPACITY,BACKLOG,I,FMO
74,ALLEN,COLLIN,DFW,FOREMOST,7,7,1981,,0.165,0.1771,0.181,,27000,90000,180000,297000,297000,1,0,1,26331462.2824028,75676361.1466808,9146874.30251651,14571456.9513027,0.279777131082168,0,14.9
75,ALLEN,COLLIN,DFW,BORDEN,7,7,1981,,0.1798,0.1848,0.204,,27000,90000,180000,297000,,1,0,0,26331462.2824028,75676361.1466808,7942901.64590949,14843406.5703431,0.187164808850963,0,14.9
76,ALLEN,COLLIN,DFW,CABELL,7,7,1981,,0.183,0.183,0.2018,,27000,90000,180000,297000,,1,0,0,26331462.2824028,75676361.1466808,7932092.65895873,14058181.1006322,0.216284896540827,0,14.9
77,ALLEN,COLLIN,DFW,SCHEPPS,7,7,1981,,0.18,0.185,0.195,,27000,90000,180000,297000,,1,1,0,26331462.2824028,75676361.1466808,9013279.63718821,24459260.8526589,0.0205534035164326,0,14.9
78,ALLEN,COLLIN,DFW,SCHEPPS,7,26,1982,,0.17,0.18,0.19,,,,,,297000,1,1,0,23795283.0130496,84946678.9341424,10312728.9831484,24459260.8526589,0.141508580078938,0,14.8
79,ALLEN,COLLIN,DFW,SCHEPPS,0,0,1983,0.167,0.157,0.167,0.177,,,,,,,1,1,0,74331231.1668181,74331231.1668181,0,24459260.8526589,-1.0,0,14.86
80,ALLEN,COLLIN,DFW,SCHEPPS,6,25,1984,,0.19,0.2,0.21,,,,,,,1,1,0,61153356.5037516,86135755.5117197,10527127.6666667,24459260.8526589,-0.27957047440866,0,14.56
81,ALLEN,COLLIN,DFW,FOREMOST,7,20,1986,,0.1615,0.1675,0.1785,,25636.3636363636,85454.5454545455,170909.090909091,282000,282000,1,0,1,44316943.5878745,96115650.8644452,8379044.44526378,14571456.9513027,0.113951973639772,0,14.14
82,ALLEN,COLLIN,DFW,CABELL,7,20,1986,,0.172,0.18,0.19,,25636.3636363636,85454.5454545455,170909.090909091,282000,,1,0,0,44316943.5878745,96115650.8644452,12866812.0316366,14058181.1006322,0.454175026206151,0,14.14
83,ALLEN,COLLIN,DFW,SCHEPPS,7,20,1986,,0.19,0.2,0.21,,25636.3636363636,85454.5454545455,170909.090909091,282000,,1,1,0,44316943.5878745,96115650.8644452,9300920.91962015,24459260.8526589,-0.0808176353415,0,14.14
84,ALLEN,COLLIN,DFW,CABELL,8,2,1987,0.17,0.16,0.1685,0.1785,144379.221170353,40001.840011739,61959.6461551937,55659.2926627147,302000,302000,1,1,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.62
85,ALLEN,COLLIN,DFW,CABELL,7,13,1988,0.172,0.162,0.1705,0.1805,156331.143452667,43313.2506087372,67088.7559362527,60266.8500023434,327000,327000,1,1,1,31151504.5559272,109470332.68921,12710426.0482678,14058181.1006322,0.619564472310945,0,14.14
86,ALLEN,COLLIN,DFW,CABELL,7,24,1989,0.164,0.158,0.164,0.171,166370.75816981,46094.8355102158,71397.2081523424,64137.1981676315,348000,348000,1,1,1,20263952.3471971,108104445.363237,13204289.5655642,14058181.1006322,0.751812259631111,0,15.22
87,ALLEN,COLLIN,DFW,BORDEN,7,25,1990,0.156,0.156,0.156,0.1625,175932.295995662,48743.9639878144,75500.4959771896,67823.2440393345,368000,368000,1,1,1,26799257.7005791,104099327.274789,12775700.7576429,14843406.5703431,0.60325940361773,0,16.2533333333
88,ALLEN,COLLIN,DFW,CABELL,7,25,1990,0.156,0.156,0.156,0.1675,175932.295995662,48743.9639878144,75500.4959771896,67823.2440393345,368000,,1,1,0,26799257.7005791,104099327.274789,4626699.35829179,14058181.1006322,0.0716715115664565,0,16.2533333333
89,ANNA,COLLIN,DFW,CABELL,7,28,1985,,0.1695,0.1695,0.1795,,11326.7366509328,17544.2078359123,15760.2287790451,44631.1732658903,,1,0,1,34524212.7822232,93054269.8529648,8044868.81051203,14058181.1006322,0.201243720098546,1,14.04
90,ANNA,COLLIN,DFW,FOREMOST,7,28,1985,0.176,0.171,0.176,0.185,,11326.7366509328,17544.2078359123,15760.2287790451,44631.1732658903,,1,0,0,34524212.7822232,93054269.8529648,13685055.051552,14571456.9513027,0.568157023750384,0,14.04
91,ANNA,COLLIN,DFW,CABELL,8,11,1986,,0.169,0.169,0.179,,10537.4976991792,16321.7399152316,14662.067249886,41521.3048642968,,1,0,1,11364286.1119198,96115650.8644452,14058181.1006322,14058181.1006322,0.881764457612141,1,14.14
92,ANNA,COLLIN,DFW,FOREMOST,8,11,1986,0.165,0.155,0.165,0.175,,10537.4976991792,16321.7399152316,14662.067249886,41521.3048642968,,1,0,0,11364286.1119198,96115650.8644452,8505019.44526378,14571456.9513027,0.465441125888161,0,14.14
93,ANNA,COLLIN,DFW,CABELL,7,29,1987,,0.169,0.169,0.179,,12927.0415484084,20022.9519426562,17986.9223164432,50936.9158075079,,1,0,1,27630100.3848669,101379288.42028,12720290.9744073,14058181.1006322,0.632290052935439,1,14.62
94,ANNA,COLLIN,DFW,CABELL,8,28,1988,,0.16,0.16,0.17,,13286.9102397736,20580.3597212179,18487.6502031346,52354.9201641261,,1,0,1,8338127.35565186,109470332.68921,13536451.708017,14058181.1006322,0.88671992695069,1,14.14
95,ANNA,COLLIN,DFW,CABELL,8,9,1989,0.1675,0.165,0.1675,0.1725,34322.3615783702,9509.3851147948,14729.2758706411,13231.5325742892,71792.5551380954,,1,1,1,3847235.86096735,108104445.363237,13824432.0239053,14058181.1006322,0.94778459938495,1,15.22
96,ANNA,COLLIN,DFW,BORDEN,8,8,1990,0.159,0.159,0.159,0.169,40282.553315304,11160.721327634,17287.0633974335,15529.2320183143,84259.5700586858,,1,1,1,5309295.91358337,104099327.274789,14722571.1126744,14843406.5703431,0.940857106097958,0,16.2533333333
97,ANNA,COLLIN,DFW,CABELL,8,8,1990,,0.165,0.169,0.175,40282.553315304,11160.721327634,17287.0633974335,15529.2320183143,84259.5700586858,,1,1,0,5309295.91358337,104099327.274789,5006992.6099871,14058181.1006322,0.305159981404826,1,16.2533333333
98,BLUE RIDGE,COLLIN,DFW,FOREMOST,0,0,1982,,0.1708,0.1758,0.1908,,12722.258160872,19705.7588778748,17701.9829612533,50130,,1,1,1,84946678.9341424,84946678.9341424,75759.68370754,14571456.9513027,-0.994800816146201,0,14.8
99,BLUE RIDGE,COLLIN,DFW,CABELL,0,0,1982,,0.205,0.205,0.225,,12722.258160872,19705.7588778748,17701.9829612533,50130,,1,1,0,84946678.9341424,84946678.9341424,594325.234846002,14058181.1006322,-0.957723888276039,0,14.8
100,BLUE RIDGE,COLLIN,DFW,FOREMOST,0,0,1983,0.173,0.17,0.173,0.19,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,1,1,74331231.1668181,74331231.1668181,72770.5489031827,14571456.9513027,-0.995005952448929,0,14.86
101,BLUE RIDGE,COLLIN,DFW,CABELL,0,0,1983,,0.205,0.205,0.225,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,1,0,74331231.1668181,74331231.1668181,672948.613831475,14058181.1006322,-0.952131174793216,0,14.86
102,BLUE RIDGE,COLLIN,DFW,FOREMOST,7,31,1984,0.173,0.17,0.173,0.19,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,,1,0,1,30074452.8762326,86135755.5117197,11606956.1707223,14571456.9513027,0.44740247822818,0,14.56
103,BLUE RIDGE,COLLIN,DFW,FOREMOST,8,19,1985,0.175,0.171,0.175,0.185,23965.994560496,6640.0405291009,10284.8909329797,9239.0739774235,50130,50130,1,0,1,12520704.9853242,93054269.8529648,14571456.9513027,14571456.9513027,0.865447281407847,0,14.04
104,BLUE RIDGE,COLLIN,DFW,FOREMOST,8,3,1986,0.175,0.165,0.17,0.18,24848.0464249307,6884.4226311594,10663.4192348218,9579.1117090881,51975,51975,1,0,1,11364286.1119198,96115650.8644452,8505019.44526378,14571456.9513027,0.465441125888161,0,14.14
105,BLUE RIDGE,COLLIN,DFW,CABELL,8,3,1986,0.1702,0.1602,0.1702,0.1802,24848.0464249307,6884.4226311594,10663.4192348218,9579.1117090881,51975,,1,0,0,11364286.1119198,96115650.8644452,14058181.1006322,14058181.1006322,0.881764457612141,0,14.14
106,BLUE RIDGE,COLLIN,DFW,CABELL,8,2,1987,0.1702,0.1602,0.1695,0.1795,26633.6636139084,7379.1473743509,11429.708236112,10267.4807756286,55710,55710,1,0,1,10420658.6628414,101379288.42028,13676003.7467849,14058181.1006322,0.870025762328601,0,14.62
